Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
31-Mar-15,18424.1,18494.35,18158.55,18206.65,57948741,2023.51
01-Apr-15,18204.55,18668.85,18131.4,18617.85,45673069,1589.69
06-Apr-15,18702.6,18702.6,18455.2,18605.45,47587506,1778.08
07-Apr-15,18666.6,18669.6,18351.8,18469.3,53179556,2022.51
08-Apr-15,18559.55,18595.6,18381.55,18416.6,45753359,1657.73
09-Apr-15,18523.35,18894.75,18401.45,18875.85,72684119,2674.77
10-Apr-15,18869.85,18896.5,18724.95,18800.85,54223553,1938.29
13-Apr-15,18842.25,18890.65,18708.3,18798.25,43773210,1619.82
15-Apr-15,18848.65,19038.5,18615.85,18716.3,66391246,2650.82
16-Apr-15,18731.65,18731.65,18504.7,18637.05,55609375,2228.76
17-Apr-15,18618.5,18625.75,18321.75,18345.55,57298263,2242.75
20-Apr-15,18386.25,18500.3,17984.65,18112.75,57294278,2301.6
21-Apr-15,18102.3,18328.35,18036.9,18105.75,53177130,2098.63
22-Apr-15,18196.85,18297.2,17798.65,18243.7,61974250,2452.83
23-Apr-15,18350.35,18433.8,18143.75,18245.6,56980744,2726.39
24-Apr-15,18290.75,18290.75,17916.8,18001.9,52289660,2100.28
27-Apr-15,18063.6,18075.7,17738.9,17767.6,66541958,2360.94
28-Apr-15,17766.55,18320.1,17766.55,18246.25,77448235,2907.93
29-Apr-15,18255.8,18431.9,18202.4,18302.65,60010265,2353.96
30-Apr-15,18318.85,18430.05,18163.9,18338.1,92163016,3863.55
04-May-15,18417.5,18586.3,18350.95,18501.3,38833685,1454.35
05-May-15,18500,18563.05,18396.8,18471.45,39419171,1844.4
06-May-15,18436.9,18580.1,17757.7,17799.55,66730522,2647.06
07-May-15,17751.4,17751.4,17246.55,17376.9,60253207,2309.36
08-May-15,17600.25,17907.5,17600.25,17796.6,88963421,2861.54
11-May-15,17921.15,18240.65,17841.75,18199.75,108498669,2834.03
12-May-15,18193.55,18193.55,17597.75,17628.65,69364982,2206.9
13-May-15,17779.25,18127.8,17650.35,18097.45,63573496,2280.41
14-May-15,18071,18156.95,17806.1,18116.2,54448233,1859.95
15-May-15,18178.4,18260.3,18108.55,18183.15,63070882,2270.96
18-May-15,18274.6,18439.7,18213.75,18422.95,46167235,1640.83
19-May-15,18364.9,18556.05,18296.75,18380.4,54669360,1979.4
